Job Class,Percentage,Link
Management,6.1,"https://www.thebalancecareers.com/getting-a-first-management-job-2275109"
Business and Financial operations,5,"https://www.themuse.com/advice/how-to-break-into-finance-banking"
Computer and Mathematical,2.7,"https://www.learnhowtobecome.org/careers-in-mathematics/"
Architecture and Engineering,1.7,"https://study.com/education_needed_to_become_an_architect.html"
"Life, Physical and Social Science",0.9,"https://www.allaboutcareers.com/careers/career-path/social-sciences"
Community and Social Service,1.6,"https://www.socialworkguide.org"
Legal,0.8,"https://www.lawcareers.net/Starting-Out/Beginners-Guide-Career-Law"
"Education, training and library",6.1,"https://www.learnhowtobecome.org/teacher/"
"Arts, design, entertainment, sports and media",1.7,"https://www.workinentertainment.com/blog/8-tips-to-help-you-get-your-first-job-in-entertainment/"
Healthcare practioners and technical,5.5,"https://study.com/articles/How_to_Become_a_Healthcare_Practitioner_Career_Guide.html"
Healthcare support,2.8,"https://healthcareitskills.com/getting-started-healthcare-it-career-path/"
Protective service,2.3,"https://www.bodyguardcareers.com/2007/02/02/getting-started-in-executive-protection/"
Food preparation and serving,8.3,"https://study.com/articles/Become_a_Food_Preparation_Worker_Career_Guide.html"
Building and grounds cleaning and maintenance,3.7,"https://www.smartsheet.com/complete-guide-facilities-management-career-paths-and-advancement"
Personal care and service,4,"https://www.carepathways.com/articles/starting-a-home-care-agency-business.cfm"
Sales,10.2,"https://www.entrepreneur.com/article/278353"
Office and administrative support,15.1,"https://www.snagajob.com/job-descriptions/administrative-assistant/"
"Farming, fishing and forestry",0.6,"https://www.bls.gov/oes/current/oes450000.htm"
Construction and extraction,4.3,"https://constructionjobs.com/blog/job-seekers/how-to-get-a-construction-job"
"Installation, maintenance and repair",3.8,"https://www.entrepreneur.com/businessideas/home-maintenance-and-repair"
Production,6.1,"https://makersrow.com/blog/2015/10/manufacturing-101-how-to-get-started/"
Transportation and material moving,6.5,"https://www.bls.gov/ooh/transportation-and-material-moving/home.htm"
Total,99.8,"nothing to see here"
